ranking,title,genre,certificate,release_year,runtime,metascore_rating,directors,stars,votes,gross_revenue,actors_atings,direction_atings,screenplay_ratings,oscars,oscar_nominations,bafta_awards,bafta_nominations,golden_globes,golden_globe_nominations,link
1,The Godfather,"['Crime', 'Drama']",R,-1972,175 min,100,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton","2,005,492",134966411,5,5,5,3,11,0,4,6,8,https://www.imdb.com/title/tt0068646/
10,Lawrence of Arabia,"['Adventure', 'Biography', 'Drama']",Approved,-1962,218 min,100,T.E. Lawrence,"David Lean, Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins","313,473",44824144,5,5,5,7,10,4,5,4,7,https://www.imdb.com/title/tt0056172/
100,Yankee Doodle Dandy,"['Biography', 'Drama', 'Family']",Passed,-1942,126 min,89,George M. Cohan,"Michael Curtiz, James Cagney, Joan Leslie, Walter Huston, Richard Whorf","16,828",11800000,4.6,4.7,4.6,3,8,0,0,0,0,https://www.imdb.com/title/tt0035575/
11,Vertigo,"['Mystery', 'Romance', 'Thriller']",PG,-1958,128 min,100,Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore","425,858",3200000,5,5,5,0,2,0,0,0,0,https://www.imdb.com/title/tt0052357/
12,Psycho,"['Horror', 'Mystery', 'Thriller']",R,-1960,109 min,97,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin","716,579",32000000,5,5,5,0,4,0,0,1,1,https://www.imdb.com/title/tt0054215/
13,The Godfather Part II,"['Crime', 'Drama']",R,-1974,202 min,90,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton","1,360,393",57300000,5,5,5,6,11,1,3,0,6,https://www.imdb.com/title/tt0071562/
14,On the Waterfront,"['Crime', 'Drama', 'Thriller']",Approved,-1954,108 min,91,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger","164,380",9600000,5,5,5,8,12,1,3,4,4,https://www.imdb.com/title/tt0047296/
16,Forrest Gump,"['Drama', 'Romance']",PG-13,-1994,142 min,82,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field","2,249,182",330252182,5,5,5,6,13,1,7,3,7,https://www.imdb.com/title/tt0109830/
17,The Sound of Music,"['Biography', 'Drama', 'Family']",G,-1965,172 min,63,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn","260,062",163214286,5,5,5,5,10,0,1,2,4,https://www.imdb.com/title/tt0059742/
18,12 Angry Men,"['Crime', 'Drama']",Approved,-1957,96 min,97,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler","861,698",4360000,5,5,5,0,3,1,2,0,4,https://www.imdb.com/title/tt0050083/
19,West Side Story,"['Crime', 'Drama', 'Musical']",Approved,-1961,153 min,86,Jerome Robbins,"Robert Wise, Natalie Wood, George Chakiris, Richard Beymer, Russ Tamblyn","120,969",43656822,4.9,4.9,4.8,10,11,0,1,3,5,https://www.imdb.com/title/tt0055614/
2,The Shawshank Redemption,['Drama'],R,-1994,142 min,82,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler","2,879,598",28341469,4.8,5,4.9,0,7,0,0,0,2,https://www.imdb.com/title/tt0111161/
20,Star Wars: Episode IV - A New Hope,"['Action', 'Adventure', 'Fantasy']",PG,-1977,121 min,90,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness","1,446,314",322740140,4.8,5,4.9,6,10,1,5,1,4,https://www.imdb.com/title/tt0076759/
21,2001: A Space Odyssey,"['Adventure', 'Sci-Fi']",G,-1968,149 min,84,Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","717,530",56954992,5,5,5,1,4,3,5,0,0,https://www.imdb.com/title/tt0062622/
22,E.T.,"['Adventure', 'Family', 'Sci-Fi']",PG,-1982,115 min,92,Steven Spielberg,"Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace","436,531",435110554,4.8,4.9,4.9,4,9,1,12,2,5,https://www.imdb.com/title/tt0083866/
23,The Silence of the Lambs,"['Crime', 'Drama', 'Thriller']",R,-1991,118 min,86,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine","1,543,916",130742922,5,5,5,5,7,2,9,1,5,https://www.imdb.com/title/tt0102926/
25,The Bridge on the River Kwai,"['Adventure', 'Drama', 'War']",PG,-1957,161 min,88,David Lean,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa","232,854",44908000,4.8,4.9,4.9,7,8,4,4,3,4,https://www.imdb.com/title/tt0050212/
26,Singin' in the Rain,"['Comedy', 'Musical', 'Romance']",G,-1952,103 min,99,Stanley Donen,"Gene Kelly, Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen","259,991",8819028,5,5,5,0,2,0,1,1,2,https://www.imdb.com/title/tt0045152/
28,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Comedy', 'War']",PG,-1964,95 min,97,Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn","516,940",275902,5,5,5,0,4,3,6,0,0,https://www.imdb.com/title/tt0057012/
29,Some Like It Hot,"['Comedy', 'Music', 'Romance']",Passed,-1959,121 min,98,Billy Wilder,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft","282,925",25000000,5,5,5,1,6,1,2,3,3,https://www.imdb.com/title/tt0053291/
3,Schindler's List,"['Biography', 'Drama', 'History']",R,-1993,195 min,95,Oskar Schindler,"Steven Spielberg, Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall","1,446,064",96898818,4.9,5,5,7,12,6,12,3,6,https://www.imdb.com/title/tt0108052/
30,Ben-Hur,"['Adventure', 'Drama']",G,-1959,212 min,90,William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet","253,071",74700000,5,5,5,11,12,1,1,3,4,https://www.imdb.com/title/tt0052618/
31,Apocalypse Now,"['Drama', 'Mystery', 'War']",R,-1979,147 min,94,Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest","708,235",83471511,5,5,5,2,8,2,8,3,4,https://www.imdb.com/title/tt0078788/
32,Amadeus,"['Biography', 'Drama', 'Music']",R,-1984,160 min,87,Wolfgang Amadeus Mozart,"Antonio Salieri, Milos Forman, F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice","426,617",51973029,5,5,5,8,11,4,9,4,6,https://www.imdb.com/title/tt0086879/
33,The Lord of the Rings: The Return of the King,"['Action', 'Adventure', 'Drama']",PG-13,-2003,201 min,94,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom","1,973,233",377845905,4.8,5,4.9,11,11,4,10,4,4,https://www.imdb.com/title/tt0167260/
34,Gladiator,"['Action', 'Adventure', 'Drama']",R,-2000,155 min,67,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","1,614,733",187705427,5,4.7,4.7,5,12,4,12,2,5,https://www.imdb.com/title/tt0172495/
35,Titanic,"['Drama', 'Romance']",PG-13,-1997,194 min,75,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates","1,276,792",659325379,4.7,4.9,4.5,11,14,0,8,4,8,https://www.imdb.com/title/tt0120338/
36,From Here to Eternity,"['Drama', 'Romance', 'War']",Passed,-1953,118 min,85,Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed","50,713",30500000,4.8,5,4.8,8,13,0,1,2,2,https://www.imdb.com/title/tt0045793/
37,Saving Private Ryan,"['Drama', 'War']",R,-1998,169 min,91,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns","1,492,684",216540909,4.9,4.9,4.9,5,11,2,8,2,5,https://www.imdb.com/title/tt0120815/
38,Unforgiven,"['Drama', 'Western']",R,-1992,130 min,85,Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris","435,178",101157447,4.8,4.9,4.9,4,9,1,6,2,4,https://www.imdb.com/title/tt0105695/
39,Raiders of the Lost Ark,"['Action', 'Adventure']",PG,-1981,115 min,86,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies","1,034,923",248159971,4.7,4.9,4.8,4,8,1,6,0,1,https://www.imdb.com/title/tt0082971/
4,Raging Bull,"['Biography', 'Drama', 'Sport']",R,-1980,129 min,90,Jake LaMotta,"Martin Scorsese, Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent","379,300",23383987,5,5,5,2,8,2,4,1,7,https://www.imdb.com/title/tt0081398/
40,Rocky,"['Drama', 'Sport']",PG,-1976,120 min,70,John G. Avildsen,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers","626,766",117235247,4.6,4.8,4.6,3,10,0,5,1,6,https://www.imdb.com/title/tt0075148/
41,A Streetcar Named Desire,['Drama'],PG,-1951,122 min,97,Elia Kazan,"Vivien Leigh, Marlon Brando, Kim Hunter, Karl Malden","114,114",8000000,4.9,4.9,4.9,4,12,1,2,1,3,https://www.imdb.com/title/tt0044081/
44,An American in Paris,"['Drama', 'Musical', 'Romance']",Passed,-1951,114 min,83,Vincente Minnelli,"Gene Kelly, Leslie Caron, Oscar Levant, Georges Guétary","36,759",4500000,4.8,4.8,4.9,6,8,0,1,1,3,https://www.imdb.com/title/tt0043278/
45,The Best Years of Our Lives,"['Drama', 'Romance', 'War']",Approved,-1946,170 min,93,William Wyler,"Myrna Loy, Dana Andrews, Fredric March, Teresa Wright","70,362",23650000,4.8,4.9,4.9,7,8,1,1,1,1,https://www.imdb.com/title/tt0036868/
46,My Fair Lady,"['Drama', 'Family', 'Musical']",G,-1964,170 min,95,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White","101,626",72000000,4.9,4.9,4.8,8,12,1,2,3,5,https://www.imdb.com/title/tt0058385/
47,A Clockwork Orange,"['Crime', 'Sci-Fi']",R,-1971,136 min,77,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke","879,381",6207725,5,5,5,0,4,0,7,0,3,https://www.imdb.com/title/tt0066921/
48,Doctor Zhivago,"['Drama', 'Romance', 'War']",PG-13,-1965,197 min,69,David Lean,"Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger","81,909",111722000,5,5,5,5,10,0,3,5,6,https://www.imdb.com/title/tt0059113/
5,Casablanca,"['Drama', 'Romance', 'War']",PG,-1942,102 min,100,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains","604,742",1024560,5,5,5,3,8,,,,,https://www.imdb.com/title/tt0034583/
50,Jaws,"['Adventure', 'Mystery', 'Thriller']",PG,-1975,124 min,87,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary","657,716",260000000,4.7,4.8,4.7,3,4,0,6,1,4,https://www.imdb.com/title/tt0073195/
51,Patton,"['Biography', 'Drama', 'War']",GP,-1970,172 min,86,George S. Patton,"Franklin J. Schaffner, George C. Scott, Karl Malden, Stephen Young, Michael Strong","107,778",61700000,5,5,5,7,10,0,2,1,3,https://www.imdb.com/title/tt0066206/
52,Butch Cassidy and the Sundance Kid,"['Biography', 'Crime', 'Drama']",PG,-1969,110 min,66,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin","226,361",102308889,4.6,4.8,4.7,4,7,8,9,1,4,https://www.imdb.com/title/tt0064115/
53,The Treasure of the Sierra Madre,"['Adventure', 'Drama', 'Western']",Passed,-1948,126 min,98,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett","132,157",5014000,4.7,4.8,4.8,3,4,0,1,3,3,https://www.imdb.com/title/tt0040897/
54,"The Good, the Bad and the Ugly","['Adventure', 'Western']",Approved,-1966,178 min,90,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè","809,072",6100000,5,5,5,0,0,0,0,0,0,https://www.imdb.com/title/tt0060196/
55,The Apartment,"['Comedy', 'Drama', 'Romance']",Approved,-1960,125 min,94,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston","196,222",18600000,5,5,5,5,10,3,3,3,4,https://www.imdb.com/title/tt0053604/
56,Platoon,"['Drama', 'War']",R,-1986,120 min,92,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David","438,456",138530565,4.8,5,5,4,8,2,3,3,4,https://www.imdb.com/title/tt0091763/
57,High Noon,"['Drama', 'Thriller', 'Western']",PG,-1952,85 min,89,Fred Zinnemann,"Gary Cooper, Grace Kelly, Thomas Mitchell, Lloyd Bridges","109,961",9450000,4.6,4.7,4.7,4,7,0,0,4,7,https://www.imdb.com/title/tt0044706/
58,Braveheart,"['Biography', 'Drama', 'War']",R,-1995,178 min,68,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen","1,089,282",75600000,4.7,4.8,4.7,5,10,3,5,1,4,https://www.imdb.com/title/tt0112573/
59,Dances with Wolves,"['Adventure', 'Drama', 'Western']",PG-13,-1990,181 min,72,Kevin Costner,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant","289,689",184208848,4.5,4.8,4.6,7,12,0,9,3,6,https://www.imdb.com/title/tt0099348/
6,Citizen Kane,"['Drama', 'Mystery']",PG,-1941,119 min,100,Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead","465,118",1585634,5,5,5,1,9,,,,,https://www.imdb.com/title/tt0033467/
